Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
1,Deoxys,Defense,386,,1271,90,12,13,15,88.9,20.0,20.0,Counter,Psycho Boost,,"2026-08-08 21:07","2022-08-31 20:21",8/31/2022,44.36kg,1.61m,0,0,0,2500,68.25%,1301,95.36%,20500,19,Deoxys,Defense,0,100.00%,1,100%,460000,248,Deoxys,Defense,0,,,,,,,,,
2,Deoxys,Attack,386,,1862,100,12,14,11,82.2,26.0,26.0,Poison Jab,Psycho Boost,,"2026-08-08 21:07","2022-02-21 07:41",2/21/2022,82.23kg,1.66m,0,0,0,4000,,,,,,,,,86.13%,569,96.91%,176000,199,Deoxys,Attack,0,,,,,,,,,
3,Genesect,Chill,649,,1855,111,11,10,13,75.6,20.0,20.0,Fury Cutter,Techno Blast,,"2026-08-08 21:07","2022-08-10 08:23",8/10/2022,59.54kg,1.27m,0,0,0,2500,,,,,,,,,28.86%,2914,94.87%,43000,38,Genesect,Chill,0,,,,,,,,,
4,Deoxys,Normal,386,,1740,89,11,11,12,75.6,20.0,20.0,Charge Beam,Thunderbolt,,"2026-08-08 21:06","2022-09-01 08:02",9/1/2022,79.53kg,2.01m,0,0,0,2500,,,,,,,,,75.70%,996,96.32%,60500,54,Deoxys,Normal,0,,,,,,,,,
5,Floette,,670,♀,219,46,6,4,1,24.4,6.0,6.0,Vine Whip,Psychic,,"2026-08-08 21:05","2026-08-08 21:05",8/8/2026,0.71kg,0.19m,0,0,0,600,32.21%,2777,93.36%,501400,294,Floette,,0,17.63%,3374,94.26%,111400,208,Florges,,0,54.99%,1844,91.88%,0,100,Florges,,0,
6,Smoliv,,928,♂,751,100,13,13,12,84.4,34.0,34.0,Razor Leaf,Seed Bomb,,"2026-08-08 21:05","2026-08-08 21:05",8/8/2026,,,0,0,0,7000,87.23%,524,96.07%,240000,159,Dolliv,,0,97.34%,110,95.10%,352000,159,Dolliv,,0,,,,,,,,,
7,Smoliv,,928,♂,741,100,12,12,12,80.0,34.0,34.0,,,,"2026-08-08 21:05","2026-08-08 21:05",8/8/2026,,,0,0,0,7000,80.07%,817,95.34%,253000,159,Dolliv,,0,95.07%,203,93.81%,352000,159,Dolliv,,0,,,,,,,,,
8,Smoliv,,928,♂,751,100,,,,81.5,34.5,34.5,Razor Leaf,Seed Bomb,,"2026-08-08 21:05","2026-08-08 21:05",,8.47kg,0.33m,0,0,0,7000,84.97%,319,96.69%,246000,151,Dolliv,,0,95.60%,108,95.14%,345000,151,Dolliv,,0,,,,,,,,,
9,Drifloon,,425,♂,312,91,6,14,9,64.4,10.0,10.0,Astonish,Ominous Wind,,"2026-08-08 21:05","2026-08-08 21:05",8/8/2026,2.15kg,0733m,0,0,0,1000,62.44%,1539,94.94%,52000,104,Drifblim,,0,93.89%,251,97.52%,466000,336,Drifblim,,0,96.17%,158,96.67%,17400,22,Drifloon,,0,
10,Grubbin,,736,♂,530,83,15,9,7,68.9,20.0,20.0,Bug Bite,Frustration,,"2026-08-08 21:05","2026-08-08 21:04",8/8/2026,4.72kg,0.41m,0,1,0,2500,19.66%,3291,93.58%,156008,183,Charjabug,,1,23.71%,3125,94.87%,78004,201,Vikavolt,,1,,,,,,,,,
